name,layers,optimizer,epochs_run,MSE,MAE,R2
Baseline,[32],Adam,50,0.32039505745651425,0.3932077611876042,0.7663270060945743
Arch_A_64_32__Adam,"[64, 32]",Adam,182,0.3399232623954991,0.412378215838606,0.7520845450843552
Arch_A_64_32__RMSprop,"[64, 32]",RMSprop,184,0.35210168313206425,0.42290172873405985,0.7432024853636326
Arch_B_128_64_32__Adam,"[128, 64, 32]",Adam,196,0.34505924358354384,0.4203574095347223,0.7483387316801792
Arch_B_128_64_32__RMSprop,"[128, 64, 32]",RMSprop,173,0.3546566352513894,0.42709638321034665,0.741339087982452
Arch_C_256_128_64_32__Adam,"[256, 128, 64, 32]",Adam,178,0.3448150698254108,0.4227610151731783,0.7485168143683112
Arch_C_256_128_64_32__RMSprop,"[256, 128, 64, 32]",RMSprop,131,0.3666823879379893,0.43629130991858106,0.73256837330117
