face_height,face_width,face_x,face_y,gura_dreapta_x,gura_dreapta_y,gura_stanga_x,gura_stanga_y,imagine,nas_x,nas_y,numar_landmarks,ochi_drept_x,ochi_drept_y,ochi_stang_x,ochi_stang_y
126,126,107,109,188,203,151,203,7005d7a0a6f254d93f8323b96024af5d.png,170,184,5,195,159,144,159
148,148,202,189,298,300,253,300,7f355d6f347b05e9e595078672f5e452.png,276,277,5,305,248,246,248
232,232,136,97,286,271,217,271,fae249759d796e7e07e03eeca0c0d9b0.png,252,236,5,298,189,205,189
201,201,25,148,155,298,95,298,jdsfndfo8u4028ednj2hjdh2308shfgj2.png,125,268,5,165,228,85,228
